Plant_species;Ajam;Alit;Ubil;Dpha;Dtol;Dwat;Rpum;Ucon
Abuta panamensis;0;0;0;0;0;1;0;0
Acrocomia aculeata;1;1;0;0;0;0;0;0
Anacardium excelsum;1;1;0;1;0;1;0;0
Anacardium occidentale;1;1;0;0;0;0;0;0
Andira inermis;1;1;0;1;0;0;0;1
Annona muricata;1;1;0;0;0;0;0;0
Annona squamosa;1;1;0;0;0;0;0;0
Astrocaryum confertum;0;0;0;0;0;1;0;0
Brosimum acutifolium;0;1;0;0;0;0;0;0
Brosimum alicastrum;1;1;0;1;1;1;0;1
Byrsonima crispa;0;0;0;0;0;1;0;0
Calatola costaricensis;0;0;0;0;0;1;0;0
Calophyllum brasiliense;1;1;0;0;0;1;0;0
Calophyllum longifolium;1;1;0;0;0;0;0;0
Chrysobalanus icaco;1;1;0;0;0;0;0;0
Chrysophyllum cainito;1;1;0;0;0;0;0;0
Clarisia biflora;1;1;0;0;0;0;0;0
Clarisia mexicana;0;0;0;0;0;1;0;0
Clusia rosea;1;0;0;0;0;0;0;0
Coccoloba uvifera;1;1;0;0;0;0;0;0
Cordia bicolor;1;1;0;0;0;0;0;0
Cordia collococca;1;0;0;0;0;0;0;0
Cynometra retusa;1;0;0;0;0;0;0;0
Diospyros nigra;1;1;0;0;0;0;0;0
Dipteryx oleifera;1;1;1;0;0;0;0;1
Eriobotrya japonica;0;1;0;0;0;0;0;0
Eugenia acapulcensis;0;0;0;0;1;0;0;0
Eugenia uniflora;0;1;0;0;0;0;0;0
Evodianthus funifer;0;0;0;0;0;0;1;0
Faramea glandulosa;0;0;0;0;0;1;0;0
Guettarda foliacea;1;0;0;0;0;0;0;0
Hernandia didymantha ;0;0;0;0;0;1;0;0
Humiriastrum diguense ;0;0;0;0;0;1;0;0
Iriartea deltoidea;0;0;0;1;0;1;0;0
Casearia procera;0;0;0;0;0;1;0;0
Licania canescens;0;0;0;0;0;0;1;0
Lucuma campechiana;1;0;0;0;0;0;0;0
Mammea americana;1;1;0;0;0;0;0;0
Manilkara bidentata;1;1;0;0;0;0;0;0
Manilkara zapota;1;1;0;0;0;0;0;0
Maranthes panamensis;0;0;0;0;0;1;0;0
Maripa nicaraguensis;0;0;0;0;0;1;0;0
Melicoccus bijugatus;1;1;0;0;0;0;0;0
Muntingia calabura ;1;0;0;0;0;0;0;0
Otoba novogranatensis;0;0;0;0;0;1;0;0
Pholidostachys pulchra;0;0;0;0;0;1;0;0
Plukenetia stipellata;0;0;0;0;0;1;0;0
Poulsenia armata;1;1;0;1;0;1;0;0
Pourouma minor;0;0;0;0;0;1;0;0
Lucuma multiflora;1;1;0;0;0;0;0;0
Prestoea decurrens;0;0;0;0;0;1;0;0
Protium panamense;0;0;0;0;0;1;0;0
Protium pittieri;0;0;0;0;0;1;0;0
Pseudolmedia glabrata;1;0;0;0;0;0;0;0
Quararibea asterolepis;1;1;0;0;0;0;0;1
Quiina macrophylla;0;0;0;0;0;1;0;0
Rinorea deflexiflora;0;0;0;0;0;1;0;0
Sacoglottis trichogyna;0;0;0;0;0;1;0;0
Sapindus saponaria;1;1;0;0;0;0;0;0
Simarouba amara;0;0;0;0;0;1;0;0
Simarouba glauca;1;0;0;0;0;0;0;0
Socratea exorrhiza;1;0;0;0;0;1;0;0
Spondias mombin;1;1;0;1;0;1;0;1
Spondias purpurea;1;1;0;0;0;0;0;0
Spondias radlkoferi;1;1;0;1;0;1;0;1
Symphonia globulifera;0;0;0;0;0;1;0;0
Syzygium cumini;1;1;0;0;0;0;1;0
Syzygium jambos;1;1;0;0;0;0;0;0
Syzygium malaccense;1;1;0;0;0;0;0;0
Terminalia catappa;1;1;0;0;0;0;0;0
Cascabela gaumeri;1;0;0;0;0;0;0;0
Trophis racemosa;0;0;0;0;0;1;0;0
Virola koschnyi;0;0;0;0;0;1;0;0
Virola sebifera;0;0;0;0;0;1;0;0
Vitex cooperi;0;0;0;0;0;1;0;0
Vitex gaumeri;1;0;0;1;0;0;0;0
Welfia regia;0;0;0;0;0;1;0;0
