Plant;Bat;FR;FA
Quiina macrophylla;D.watsoni;10.0;38.0
Trophis racemosa;D.watsoni;10.0;38.0
Vitex cooperi;D.watsoni;10.5;38.0
Byrsonima crispa;D.watsoni;11.0;38.0
Cordia bicolor;A.jamaicensis;11.5;57.1
Muntingia calabura ;A.jamaicensis;11.5;57.1
Cordia bicolor;A.lituratus;11.5;63.5
Clarisia mexicana;D.watsoni;12.0;38.0
Vitex gaumeri;A.jamaicensis;12.5;57.1
Vitex gaumeri;D.phaeotis;12.5;38.5
Plukenetia stipellata;D.watsoni;12.5;38.0
Virola sebifera;D.watsoni;12.5;38.0
Guettarda foliacea;A.jamaicensis;14.0;57.1
Coccoloba uvifera;A.jamaicensis;15.0;57.1
Coccoloba uvifera;A.lituratus;15.0;63.5
Laetia procera;D.watsoni;15.0;38.0
Sapindus saponaria;A.jamaicensis;17.0;57.1
Sapindus saponaria;A.lituratus;17.0;63.5
Quararibea asterolepis;A.jamaicensis;17.5;57.1
Syzygium cumini;A.jamaicensis;17.5;57.1
Thevetia gaumeri;A.jamaicensis;17.5;57.1
Quararibea asterolepis;A.lituratus;17.5;63.5
Syzygium cumini;A.lituratus;17.5;63.5
Simarouba amara;D.watsoni;17.5;38.0
Syzygium cumini;R.pumilio;17.5;33.5
Quararibea asterolepis;U. convexum;17.5;42.0
Clarisia biflora;A.jamaicensis;18.0;57.1
Clarisia biflora;A.lituratus;18.0;63.5
Pourouma minor;D.watsoni;18.5;38.0
Brosimum alicastrum;A.jamaicensis;19.0;57.1
Brosimum alicastrum;A.lituratus;19.0;63.5
Brosimum alicastrum;D.phaeotis;19.0;38.5
Brosimum alicastrum;D.tolteca;19.0;40.0
Brosimum alicastrum;D.watsoni;19.0;38.0
Brosimun alicastrum;U. convexum;19.0;42.0
Calophyllum brasiliense;A.jamaicensis;20.0;57.1
Calophyllum brasiliense;A.lituratus;20.0;63.5
Calophyllum brasiliense;D.watsoni;20.0;38.0
Rinorea deflexiflora;D.watsoni;22.0;38.0
Pseudolmedia glabrata;A.jamaicensis;22.5;57.1
Simarouba glauca;A.jamaicensis;22.5;57.1
Hernandia didymantha ;D.watsoni;22.5;38.0
Humiriastrum diguense ;D.watsoni;22.5;38.0
Protium panamense;D.watsoni;23.0;38.0
Iriartea deltoidea;D.phaeotis;23.5;38.5
Iriartea deltoidea;D.watsoni;23.5;38.0
Poulsenia armata;A.jamaicensis;24.0;57.1
Poulsenia armata;A.lituratus;24.0;63.5
Poulsenia armata;D.phaeotis;24.0;38.5
Poulsenia armata;D.watsoni;24.0;38.0
Virola koschnyi;D.watsoni;24.0;38.0
Anacardium excelsum;A.jamaicensis;25.0;57.1
Socratea exorrhiza;A.jamaicensis;25.0;57.1
Spondias mombin;A.jamaicensis;25.0;57.1
Spondias purpurea;A.jamaicensis;25.0;57.1
Spondias radlkoferi;A.jamaicensis;25.0;57.1
Anacardium excelsum;A.lituratus;25.0;63.5
Brosimum acutifolium;A.lituratus;25.0;63.5
Spondias mombin;A.lituratus;25.0;63.5
Spondias purpurea;A.lituratus;25.0;63.5
Spondias radlkoferi;A.lituratus;25.0;63.5
Anacardium excelsum;D.phaeotis;25.0;38.5
Spondias mombin;D.phaeotis;25.0;38.5
Spondias radlkoferi;D.phaeotis;25.0;38.5
Anacardium excelsum;D.watsoni;25.0;38.0
Maripa nicaraguensis;D.watsoni;25.0;38.0
Socratea exorrhiza;D.watsoni;25.0;38.0
Spondias mombin;D.watsoni;25.0;38.0
Spondias radlkoferi;D.watsoni;25.0;38.0
Spondias mombin;U. convexum;25.0;42.0
Spondias radlkoferi;U. convexum;25.0;42.0
Pouteria multiflora;A.jamaicensis;27.0;57.1
Pouteria multiflora;A.lituratus;27.0;63.5
Anacardium occidentale;A.jamaicensis;27.5;57.1
Manilkara bidentata;A.jamaicensis;27.5;57.1
Anacardium occidentale;A.lituratus;27.5;63.5
Manilkara bidentata;A.lituratus;27.5;63.5
Pholidostachys pulchra;D.watsoni;28.0;38.0
Abuta panamensis;D.watsoni;29.5;38.0
Melicoccus bijugatus;A.jamaicensis;30.0;57.1
Melicoccus bijugatus;A.lituratus;30.0;63.5
Astrocaryum confertum;D.watsoni;30.0;38.0
Symphonia globulifera;D.watsoni;30.0;38.0
Licania canescens;R.pumilio;30.0;33.5
Cynometra retusa;A.jamaicensis;31.0;57.1
Acrocomia aculeata;A.jamaicensis;32.5;57.1
Acrocomia aculeata;A.lituratus;32.5;63.5
Sacoglottis trichogyna;D.watsoni;32.5;38.0
Welfia regia;D.watsoni;32.5;38.0
Chrysobalanus icaco;A.jamaicensis;34.0;57.1
Chrysobalanus icaco;A.lituratus;34.0;63.5
Andira inermis;A.jamaicensis;35.0;57.1
Annona muricata;A.jamaicensis;35.0;57.1
Andira inermis;A.lituratus;35.0;63.5
Annona muricata;A.lituratus;35.0;63.5
Eriobotrya japonica;A.lituratus;35.0;63.5
Andira inermis;D.phaeotis;35.0;38.5
Andira inermis;U. convexum;35.0;42.0
Otoba novogranatensis;D.watsoni;37.5;38.0
Protium pittieri;D.watsoni;38.5;38.0
Diospyros digyna;A.jamaicensis;40.0;57.1
Syzygium jambos;A.jamaicensis;40.0;57.1
Diospyros digyna;A.lituratus;40.0;63.5
Syzygium jambos;A.lituratus;40.0;63.5
Chrysophyllum cainito;A.jamaicensis;45.0;57.1
Chrysophyllum cainito;A.lituratus;45.0;63.5
Clusia rosea;A.jamaicensis;47.5;57.1
Lucuma campechiana;A.jamaicensis;48.0;57.1
Dipteryx oleifera;A.jamaicensis;50.0;57.1
Dipteryx oleifera;A.lituratus;50.0;63.5
Maranthes panamensis;D.watsoni;50.0;38.0
Dipteryx oleifera;U. convexum;50.0;42.0
Dipteryx oleifera;U.bilobatum;50.0;42.0
