General Information;;
Tent-roosting bat species;D.phaeotis;Dermanura phaeotis
;D.tolteca;Dermanura tolteca
;D.watsoni;Dermanura watsoni
;A.jamaicensis;Artibeus jamaicensis
;A.lituratus;Artibeus lituratus
;U.bilobatum;Uroderma bilobatum
;U.convexum;Uroderma convexum
;R.pumilio;Rhinophylla pumilio
Fr;Length of fruit for each plant species. Resource: Tropicos. ;
FA;Length of forearm of bat species. Resource: Handbook of the Mammals of the World. We used the midpoint of forearm size. ;
;Reference: Solari, S., Medellín, R., Rodríguez-Herrera, B., Dumont, E., & Burneo, S. (2019). Family Phyllostomidae (New World Leaf-Nosed Bats). Pp. 444-583. In: Wilson, D. E., & Mittermeier, R. A. (Eds.). (2019). Handbook of the Mammals of the World: Volume 9: Bats (Vol. 9). Lynx Edicions, Barcelona.;
